total_funding_usd,category,number_of_funding_rounds,number_of_business_milestones,relationships,number_of_employees,company_age,region
0,mobile,0,NA,NA,NA,NA,NA
235e3,NA,2,NA,2,NA,4,Americas
0,NA,0,1,1,NA,NA,NA
0,consulting,0,1,1,11,5,Europe
5e4,sports,1,1,2,12,1,Europe
0,manufacturing,2,NA,4,NA,9,Americas
19299,mobile,1,1,4,5,1,Europe
3905e3,biotech,3,NA,2,NA,4,Americas
0,legal,0,NA,NA,10,0,NA
0,finance,0,1,4,NA,0,Americas
1543860,biotech,1,NA,2,NA,NA,Americas
18e3,software,2,2,5,4,2,Americas
2e6,software,1,NA,1,NA,NA,Americas
28e5,biotech,1,NA,1,NA,8,Europe
0,web,0,NA,NA,3,11,Americas
0,software,0,NA,2,NA,2,Asia
78e5,nonprofit,3,3,16,18,4,Americas
72e5,mobile,1,1,6,50,7,Americas
15e4,photo_video,1,NA,2,8,1,Americas
0,NA,0,1,1,NA,NA,NA
53248,music,1,1,5,9,1,Europe
0,NA,0,NA,1,NA,NA,NA
0,web,0,NA,NA,NA,0,NA
225e4,software,1,NA,2,NA,5,Americas
0,mobile,0,1,3,50,13,Europe
6e5,mobile,2,2,10,2,3,Americas
895e4,ecommerce,2,3,6,45,3,Europe
5e4,NA,1,NA,NA,NA,NA,Americas
0,public_relations,0,1,1,32,2,Americas
153e5,mobile,4,3,14,30,3,Americas
0,NA,0,1,3,NA,4,Americas
0,NA,0,NA,1,NA,NA,NA
0,NA,0,1,1,NA,NA,NA
119191e3,advertising,7,3,14,150,9,Americas
8622e4,cleantech,5,1,18,NA,7,Americas
0,software,0,1,3,20,2,Europe
7896600,manufacturing,1,NA,NA,NA,NA,Europe
16434e3,cleantech,2,NA,13,NA,10,Americas
0,NA,0,1,1,NA,NA,NA
259e4,software,1,NA,2,NA,16,Europe
879e5,finance,1,NA,2,NA,NA,Americas
4e6,games_video,1,1,2,50,2,Europe
0,software,0,2,2,22,17,Americas
0,consulting,0,2,1,8,5,Europe
155e5,semiconductor,1,NA,NA,NA,14,Americas
482199900,finance,7,2,12,40,2,Americas
51894150,software,6,2,3,NA,5,Americas
811057,games_video,1,1,4,5,6,Europe
12e6,advertising,2,2,23,24,7,Americas
0,hardware,0,NA,NA,NA,1,NA
28e5,social,1,1,2,NA,NA,Asia
0,web,0,1,1,30,2,Asia
166678,software,1,2,2,2,3,Europe
1e5,advertising,1,1,4,6,1,Americas
0,software,0,1,1,NA,NA,Europe
1e4,software,1,2,2,1,1,Americas
32599e3,biotech,2,1,2,NA,NA,Americas
1e7,advertising,3,3,8,100,5,Europe
375e3,mobile,3,1,3,5,1,Americas
0,NA,0,1,2,NA,NA,NA
15e4,other,1,NA,1,NA,NA,Americas
56462e3,enterprise,6,3,9,150,8,Americas
0,news,0,NA,NA,NA,3,NA
1e5,mobile,1,1,4,3,2,Oceania
14e5,software,1,2,4,7,2,Americas
0,advertising,0,2,4,40,5,Americas
39e5,biotech,2,NA,1,NA,NA,Americas
0,NA,0,1,1,NA,NA,NA
8275e4,games_video,3,2,4,225,11,Europe
0,software,0,1,1,10,3,Americas
245e3,mobile,2,3,8,5,6,Americas
4e6,public_relations,1,NA,NA,NA,NA,Asia
19e5,biotech,1,NA,1,NA,7,Europe
8e4,network_hosting,1,1,4,NA,1,Americas
9264900,software,2,1,8,NA,3,Americas
0,software,0,2,2,18,5,Europe
50232829,biotech,5,NA,6,NA,10,Americas
0,other,0,NA,NA,NA,1,NA
0,mobile,0,1,1,5,2,Americas
1e5,sports,1,2,3,4,1,Europe
18999999,biotech,3,2,11,NA,4,Americas
1098240,health,2,1,6,11,5,Europe
0,mobile,0,2,3,6,3,Americas
0,NA,0,1,1,NA,NA,NA
0,NA,0,1,2,NA,NA,NA
0,NA,0,1,1,NA,NA,NA
0,NA,0,1,1,NA,NA,NA
8412410,hardware,4,1,2,NA,NA,Americas
325e3,web,1,2,2,NA,1,Europe
0,software,0,2,4,100,6,Europe
15e4,education,1,2,7,4,1,Americas
0,NA,0,NA,NA,NA,NA,Americas
0,games_video,0,NA,NA,NA,NA,NA
0,games_video,2,1,3,3,2,Americas
124e6,network_hosting,3,2,1,39,5,Asia
0,ecommerce,0,2,1,9,4,Americas
6321095,medical,1,1,1,NA,5,Europe
9e5,security,1,1,6,12,5,Europe
0,web,0,1,4,5,5,Americas
0,NA,0,1,1,NA,NA,NA
0,consulting,0,1,2,1000,20,Asia
1e5,enterprise,1,1,5,5,1,Americas
0,NA,0,1,2,NA,NA,NA
0,consulting,0,NA,NA,5,1,NA
0,advertising,0,1,6,50,1,Europe
0,NA,0,1,NA,NA,NA,NA
0,NA,0,1,1,NA,NA,NA
0,mobile,0,1,3,2,2,Americas
0,consulting,0,NA,NA,NA,5,Americas
0,NA,0,1,1,NA,NA,NA
0,ecommerce,0,2,4,50,14,Africa
786e3,analytics,1,2,5,30,9,Europe
206e6,education,1,1,1,NA,91,Americas
5e3,finance,1,NA,NA,1,3,Americas
0,software,1,2,2,7,2,Europe
0,web,0,2,1,NA,3,Americas
771960,mobile,2,NA,3,NA,2,Europe
2635e4,software,3,2,15,NA,10,Americas
119616,medical,2,NA,4,4,2,Africa
605008017,analytics,10,3,34,550,9,Americas
92e6,cleantech,4,2,9,60,10,Americas
0,NA,0,1,1,NA,NA,NA
45e5,software,2,2,7,36,5,Asia
1515251,real_estate,1,1,1,NA,0,Europe
25e3,photo_video,1,1,4,NA,1,Americas
3798069,analytics,5,2,5,13,4,Americas
0,mobile,0,1,1,56,7,Asia
0,web,0,NA,2,6,1,Europe
0,games_video,0,1,1,22,4,Americas
42e5,health,2,NA,1,NA,NA,Americas
169e5,enterprise,2,3,8,NA,16,Americas
1e6,mobile,1,2,2,NA,2,Americas
0,advertising,0,1,11,90,8,Americas
0,mobile,0,NA,NA,NA,NA,NA
0,NA,0,NA,NA,NA,NA,NA
3e6,education,1,1,6,NA,11,Asia
18034e3,software,2,3,16,100,7,Europe
0,ecommerce,0,1,6,4,3,Americas
0,software,0,1,2,70,13,Europe
0,NA,0,1,1,NA,NA,NA
65e4,ecommerce,1,1,3,NA,1,Europe
0,network_hosting,1,1,2,12,3,Americas
37e6,ecommerce,4,2,12,50,4,Americas
0,mobile,0,1,3,18,2,Europe
7e3,music,1,1,1,2,4,Americas
514640,hospitality,1,NA,2,NA,1,Europe
0,NA,0,1,1,NA,NA,NA
189154,ecommerce,1,1,4,4,2,Europe
0,ecommerce,0,1,2,2,2,Americas
3e7,biotech,1,1,2,NA,8,Americas
995e3,mobile,1,2,1,NA,5,Americas
0,network_hosting,0,1,1,20,18,Americas
0,web,0,1,1,4,2,Asia
0,web,0,1,2,2,1,Americas
0,advertising,0,1,3,5,5,Asia
0,consulting,0,NA,1,NA,NA,Americas
1026555,photo_video,3,1,2,2,2,Americas
0,other,0,2,18,12,2,Americas
805e4,software,3,3,7,32,4,Americas
0,search,0,NA,NA,NA,NA,NA
64e5,search,3,2,5,83,6,Asia
0,ecommerce,0,1,2,4,0,Americas
0,ecommerce,0,2,1,3,7,Americas
0,other,0,NA,NA,NA,NA,NA
75e4,health,1,NA,3,NA,3,Americas
0,NA,0,1,10,NA,NA,NA
5217e3,biotech,3,NA,3,NA,8,Americas
0,web,0,1,5,6,2,Americas
11849203,news,3,3,9,35,6,Americas
0,enterprise,0,NA,NA,NA,13,Asia
15767101,biotech,5,1,7,NA,11,Americas
12e3,health,1,2,3,3,2,Americas
0,ecommerce,0,1,2,3,3,Americas
0,software,0,1,4,10,3,Americas
961e3,biotech,2,NA,5,NA,3,Americas
0,NA,0,NA,1,NA,NA,NA
18e6,hospitality,1,NA,NA,NA,NA,Americas
0,web,0,1,3,6,9,Oceania
0,NA,0,1,1,NA,NA,NA
0,software,0,1,4,15,8,Americas
0,web,0,1,1,14,4,Americas
0,software,0,2,11,100,11,Americas
0,NA,0,2,1,NA,NA,NA
0,NA,0,1,1,NA,NA,NA
5790454,biotech,3,NA,NA,NA,4,Americas
5e5,web,1,2,1,3,3,Americas
0,advertising,0,1,5,50,10,Asia
0,security,0,1,1,2,4,Americas
0,software,0,1,1,5,11,Americas
3658984,manufacturing,2,2,6,NA,9,Americas
71e6,biotech,5,NA,5,NA,NA,Americas
328e3,advertising,3,1,4,5,2,Americas
0,NA,0,1,1,NA,NA,NA
0,ecommerce,0,1,2,75,11,Europe
0,ecommerce,0,1,5,32,17,Americas
0,software,0,1,7,7,5,Europe
54e5,biotech,2,NA,4,NA,4,Americas
135e4,other,1,1,6,20,2,Americas
1e5,advertising,1,2,5,7,4,Americas
1e4,games_video,1,1,2,4,4,Americas
66e5,analytics,1,1,2,NA,NA,Americas
16e6,software,1,1,1,NA,NA,Americas
148533100,NA,2,NA,1,NA,2,Americas
1e6,software,1,NA,2,5,2,Europe
0,mobile,0,NA,3,NA,NA,Europe
0,software,0,1,1,30,6,Asia
0,software,0,1,4,2,7,Americas
4e7,biotech,1,NA,3,NA,NA,Americas
308e5,enterprise,2,2,7,80,6,Americas
0,enterprise,0,1,1,1,7,Americas
0,web,0,1,2,30,4,Americas
0,NA,0,NA,1,NA,NA,NA
0,software,0,1,1,NA,NA,Europe
2225e3,education,4,2,6,8,2,Americas
340419,software,1,1,2,10,1,Americas
0,other,0,1,2,2,5,Asia
0,web,0,1,3,10,5,Americas
0,NA,0,1,1,NA,NA,NA
0,NA,0,1,1,NA,NA,NA
9e7,travel,1,3,14,NA,2,Europe
14e5,enterprise,1,NA,NA,6,1,Americas
0,consulting,0,1,1,5,16,Americas
0,games_video,0,NA,NA,NA,NA,NA
225e4,ecommerce,1,1,5,NA,NA,Americas
125e4,advertising,1,NA,NA,18,1,Americas
0,mobile,0,NA,NA,4,3,NA
122e6,analytics,7,4,36,300,6,Americas
0,other,0,1,6,NA,NA,Europe
0,NA,0,1,1,NA,NA,NA
15e6,enterprise,1,NA,2,NA,23,Americas
4e5,hardware,1,NA,NA,NA,10,Americas
0,NA,0,1,1,NA,NA,NA
0,software,0,1,4,2,2,Americas
26e4,mobile,1,1,3,11,1,Europe
0,software,0,1,4,7,4,Europe
0,NA,0,NA,4,4,1,NA
4e7,advertising,5,5,7,NA,8,Europe
104e5,advertising,3,2,5,21,3,Americas
0,ecommerce,0,NA,NA,NA,1,NA
7e7,health,2,NA,1,NA,NA,Americas
0,NA,1,NA,NA,NA,NA,Americas
0,other,0,1,1,10,2,Americas
1349142,software,1,NA,3,NA,2,Americas
0,software,0,1,1,2,1,NA
55e6,cleantech,1,1,1,5,6,Asia
0,search,1,2,3,2,6,Americas
0,software,0,1,3,10,3,Europe
0,NA,0,1,1,NA,NA,NA
1e6,mobile,1,1,5,8,2,Asia
1e6,games_video,1,1,7,NA,2,Americas
7405e3,security,2,NA,NA,NA,NA,NA
35e5,news,3,3,3,5,5,Americas
0,messaging,2,1,3,3,4,Americas
0,other,0,NA,NA,NA,NA,NA
0,web,0,NA,NA,5,3,Asia
0,consulting,0,1,1,8,7,Europe
24e6,biotech,2,NA,1,NA,2,Americas
81191,games_video,1,1,1,10,4,Europe
681e4,semiconductor,1,1,1,NA,NA,NA
0,consulting,0,1,9,60,8,Europe
0,advertising,0,1,1,5,1,Americas
0,web,0,2,2,6,7,Europe
0,advertising,0,1,4,32,5,Americas
1375748,ecommerce,1,NA,NA,NA,NA,Europe
3091125,public_relations,2,NA,NA,NA,NA,Europe
632500,web,4,3,4,10,4,Americas
0,web,0,NA,NA,3,3,Europe
0,health,1,1,2,NA,2,Europe
0,enterprise,0,1,1,10,1,Americas
63518,web,2,NA,NA,NA,2,Europe
0,web,0,NA,1,1,5,Americas
5e4,local,1,1,2,NA,1,Americas
0,education,0,NA,NA,NA,NA,Americas
373e4,real_estate,2,1,9,12,5,Americas
0,ecommerce,0,1,3,4,2,Europe
0,NA,0,1,1,NA,NA,NA
0,NA,0,1,1,NA,NA,NA
7e4,software,1,NA,NA,NA,NA,Americas
31e5,ecommerce,2,NA,NA,NA,23,Americas
0,biotech,0,1,2,NA,NA,Americas
3706510,web,4,2,11,12,8,Americas
1264400,search,1,NA,6,16,6,Europe
0,network_hosting,0,NA,1,2,6,NA
3e6,education,1,NA,1,NA,NA,Americas
0,web,0,1,11,19,3,Europe
0,ecommerce,0,NA,2,NA,3,Americas
12e5,web,1,2,4,NA,2,Americas
0,other,0,NA,NA,NA,NA,NA
0,web,0,NA,8,NA,29,Asia
0,ecommerce,0,1,3,6,2,Americas
0,network_hosting,0,2,7,120,5,Africa
0,software,0,1,5,5,2,Americas
2549115,mobile,4,2,9,33,2,Americas
0,NA,0,NA,NA,NA,12,Americas
0,advertising,0,1,1,40,6,Americas
21e6,medical,2,NA,18,NA,6,Americas
0,games_video,0,1,4,3,1,Americas
0,enterprise,0,1,2,14,5,Asia
0,security,0,NA,1,NA,NA,NA
0,web,0,1,2,2,5,Americas
0,mobile,0,1,3,3,1,Americas
0,NA,0,1,1,NA,NA,NA
125e5,health,2,1,5,85,4,Americas
33205687,security,8,1,12,NA,10,Americas
5e6,mobile,1,1,3,NA,NA,Americas
125e4,biotech,2,NA,1,NA,NA,Americas
650267,ecommerce,2,NA,2,NA,1,Americas
15e5,hardware,1,2,3,NA,3,Americas
0,games_video,0,NA,1,3,1,NA
0,network_hosting,0,1,2,20,14,Americas
0,education,0,NA,1,NA,0,NA
18e5,travel,3,2,14,9,2,Americas
605e3,enterprise,1,1,2,NA,1,Americas
0,web,0,1,3,8,5,Europe
0,NA,0,1,1,NA,NA,NA
0,public_relations,0,1,7,5,2,Americas
212550,hardware,1,1,5,10,2,Europe
0,health,0,NA,NA,NA,NA,NA
4e6,real_estate,1,1,7,28,5,Americas
0,other,0,NA,NA,2,3,NA
1098e5,advertising,3,3,25,215,8,Americas
3e6,NA,1,1,4,NA,NA,Americas
925e5,biotech,3,1,12,NA,9,Americas
0,other,0,NA,2,10,6,Asia
1e6,enterprise,1,2,1,12,4,Europe
36e6,advertising,3,2,14,NA,7,Americas
1510017,web,2,1,7,28,6,Americas
125e4,social,1,2,7,7,3,Americas
0,mobile,0,1,2,10,29,Americas
2e5,search,1,1,2,4,2,Asia
5e5,web,1,1,1,5,3,Asia
253e5,health,3,3,18,33,6,Americas
1e6,software,1,NA,NA,NA,18,Americas
235e4,advertising,3,3,19,20,3,Americas
0,other,0,1,11,20,5,Europe
39e5,search,2,1,7,5,6,Americas
0,ecommerce,0,1,3,4,2,Americas
0,education,0,2,1,13,11,Americas
0,semiconductor,0,NA,1,NA,12,Americas
24e5,software,1,1,4,14,1,Americas
6291194,biotech,2,NA,NA,NA,13,Europe
0,network_hosting,0,2,1,2,2,Asia
0,web,0,1,2,4,2,Americas
0,NA,0,NA,1,NA,NA,NA
0,NA,0,1,1,NA,NA,NA
0,NA,0,NA,1,NA,NA,NA
0,software,0,1,2,8,5,Oceania
325e3,nonprofit,1,1,4,NA,2,Americas
0,NA,0,1,1,NA,NA,NA
0,network_hosting,0,NA,NA,10,3,NA
16e5,education,2,1,3,8,2,Americas
1e6,search,1,1,4,4,1,Americas
75e4,mobile,1,2,6,5,2,Americas
0,web,0,2,1,1,1,Americas
0,software,0,NA,NA,NA,13,Americas
0,mobile,0,1,3,10,2,Americas
5e6,consulting,1,NA,6,188,14,Europe
125e5,software,2,1,2,NA,15,Americas
0,web,0,1,1,3,5,Europe
5e6,hospitality,1,NA,NA,NA,NA,Americas
14e6,other,3,2,13,200,8,Americas
325e3,social,1,NA,3,NA,NA,Asia
0,other,0,NA,1,NA,NA,Americas
134e4,analytics,1,1,1,NA,7,Europe
18e6,medical,2,1,4,NA,NA,Americas
222e3,ecommerce,1,NA,2,NA,4,Americas
0,software,0,1,1,NA,NA,NA
148e3,analytics,1,3,8,12,4,Americas
0,legal,0,1,1,3,28,Americas
0,ecommerce,0,1,2,2,3,Europe
17e5,mobile,1,1,5,7,1,Americas
0,mobile,0,2,2,10,2,Americas
0,NA,0,1,1,NA,NA,NA
0,NA,0,NA,NA,NA,NA,NA
0,NA,0,NA,2,NA,NA,Americas
41e6,enterprise,3,1,13,60,8,Americas
5e4,hardware,1,NA,2,NA,NA,NA
0,advertising,0,1,7,6,2,Americas
0,other,0,NA,NA,NA,NA,NA
368750,music,1,NA,7,4,6,NA
3e4,web,1,1,NA,NA,6,Americas
0,hardware,0,1,2,11,30,Americas
1e5,music,1,2,5,5,2,Americas
104e4,hardware,2,NA,4,NA,2,Americas
13e6,semiconductor,2,NA,4,NA,9,Americas
0,advertising,0,1,4,65,12,Americas
301e3,advertising,1,NA,1,5,5,Americas
3232069,ecommerce,1,1,3,10,2,Europe
0,advertising,0,1,2,2,3,NA
55e4,hardware,2,1,2,5,2,Americas
0,hardware,0,1,4,NA,NA,Europe
5e4,fashion,1,NA,3,5,2,Americas
4657434,ecommerce,1,1,5,10,4,Americas
1025e4,finance,2,3,15,5,8,Americas
3e5,analytics,1,NA,1,NA,1,Americas
0,software,0,1,2,20,8,Americas
70020,games_video,1,NA,2,6,2,NA
859950,enterprise,1,1,4,10,3,Europe
5841004,software,4,1,3,NA,8,Americas
0,enterprise,0,1,3,6,2,Asia
0,ecommerce,0,NA,1,NA,NA,Asia
0,enterprise,0,1,1,10,1,Europe
4e6,education,1,NA,1,NA,5,Americas
35e5,ecommerce,2,2,6,15,3,Asia
0,NA,0,1,2,NA,NA,NA
0,NA,0,NA,1,NA,NA,NA
306e4,software,1,1,6,50,11,Americas
925e3,enterprise,2,1,4,NA,3,Americas
0,hardware,0,1,2,24,6,Americas
1e6,cleantech,1,NA,NA,NA,NA,Americas
0,NA,0,NA,2,NA,NA,NA
953944,enterprise,1,1,3,3,2,Asia
5705e3,mobile,3,1,8,20,2,Americas
0,NA,0,NA,1,NA,NA,NA
264e5,biotech,2,3,22,50,6,Americas
0,ecommerce,0,1,1,1,3,Europe
0,mobile,0,1,2,6,5,Europe
3e4,other,1,1,1,5,4,Europe
0,consulting,0,NA,1,2,12,NA
0,public_relations,0,1,4,3,3,Europe
0,NA,0,1,1,NA,NA,NA
25e3,photo_video,1,2,4,NA,1,Americas
0,advertising,0,1,4,10,2,Asia
0,web,0,2,2,7,0,Europe
0,other,0,2,1,3,2,Asia
13e6,news,1,3,7,160,9,Americas
15e5,enterprise,2,3,1,11,2,Americas
0,mobile,0,1,2,14,3,Europe
0,software,0,2,7,18,8,Americas
0,advertising,1,1,5,NA,14,Americas
0,advertising,0,1,1,7,3,Europe
0,sports,0,NA,NA,NA,NA,NA
0,NA,0,1,2,NA,NA,NA
0,ecommerce,0,NA,NA,NA,0,NA
1e6,search,1,NA,1,NA,1,Asia
11165e3,web,4,1,4,11,4,Americas
56428e3,finance,2,2,5,200,13,Europe
0,consulting,0,1,1,3,12,Americas
0,software,0,NA,NA,NA,NA,NA
0,consulting,0,1,1,4,7,NA
1e5,medical,1,NA,4,5,0,Americas
0,other,0,1,2,10,1,Americas
34799900,software,5,1,18,100,10,Americas
0,enterprise,0,1,1,250,4,Asia
0,web,0,1,4,10,10,Oceania
4e5,education,1,2,6,7,2,Americas
0,mobile,0,NA,NA,NA,NA,NA
0,NA,0,NA,NA,NA,NA,NA
19e5,web,1,3,4,10,2,Americas
0,web,0,NA,NA,NA,NA,NA
0,consulting,0,1,1,7,11,Asia
0,search,0,NA,NA,2,2,NA
2e5,mobile,1,NA,1,NA,1,Europe
0,software,0,1,4,50,5,Americas
5e4,ecommerce,1,1,1,5,3,Americas
25e4,analytics,1,2,4,5,1,Europe
0,consulting,0,1,1,1,1,Americas
0,NA,0,1,1,NA,NA,NA
0,search,0,1,NA,NA,0,NA
215e5,biotech,1,NA,3,NA,NA,Oceania
2e7,games_video,1,NA,1,NA,NA,Asia
5e5,advertising,1,1,7,40,5,Americas
3e7,biotech,1,NA,1,NA,NA,Asia
0,consulting,0,1,3,3,10,Europe
94e4,web,2,1,3,NA,2,Americas
3e6,biotech,2,NA,8,NA,2,Americas
0,education,0,NA,3,14,NA,Americas
94e5,security,1,1,2,NA,2,Americas
15e4,ecommerce,1,NA,NA,NA,0,NA
59e4,semiconductor,1,NA,NA,NA,8,Europe
25e3,web,1,NA,NA,NA,2,NA
65e6,mobile,1,3,22,NA,12,Americas
0,ecommerce,0,1,2,2,0,Americas
7966841,analytics,3,1,3,40,22,Europe
0,consulting,0,1,1,0,5,Americas
27747e3,biotech,4,NA,1,NA,11,Americas
0,advertising,0,1,3,3,1,Americas
0,NA,0,1,1,NA,NA,NA
21331146,mobile,3,2,19,22,8,Europe
15e3,mobile,1,1,6,8,2,Americas
0,NA,0,NA,1,NA,NA,NA
0,education,0,NA,NA,NA,1,NA
13e5,web,1,NA,1,4,NA,Americas
0,legal,0,NA,6,NA,NA,Asia
25652896,mobile,2,NA,6,10,27,Europe
19713,other,1,1,7,7,1,Europe
12e5,ecommerce,1,2,3,10,1,Americas
75e4,advertising,2,NA,3,NA,6,Americas
0,software,0,2,2,15,4,Americas
0,NA,0,NA,1,NA,NA,NA
5e5,games_video,1,NA,7,6,4,Americas
3241e3,software,2,NA,NA,NA,NA,Europe
0,education,0,1,1,5,3,Africa
0,enterprise,0,1,4,8,5,Americas
0,NA,0,NA,NA,NA,NA,NA
0,other,0,NA,NA,20,NA,NA
110544,software,2,NA,NA,NA,8,Americas
0,public_relations,0,1,1,12,3,Europe
7503718,hardware,1,NA,2,NA,NA,Europe
0,other,0,2,15,350,9,Americas
99e5,mobile,4,2,11,NA,4,Americas
0,ecommerce,0,1,3,35,4,Americas
0,software,0,NA,3,3,3,NA
77e4,web,2,3,4,5,3,Americas
143e4,web,2,NA,NA,NA,3,Americas
45e5,analytics,1,1,1,NA,NA,Europe
77500,software,1,NA,NA,NA,3,Americas
0,security,0,1,1,NA,NA,NA
15e5,ecommerce,1,2,3,9,1,Europe
0,games_video,0,NA,NA,NA,NA,NA
37e6,ecommerce,1,1,9,200,9,Americas
0,web,1,1,2,8,2,Americas
3e7,hardware,1,NA,NA,NA,NA,NA
0,software,0,NA,NA,2,2,NA
69604551,advertising,5,2,15,160,8,Europe
255e4,software,2,NA,NA,NA,9,Americas
15e5,software,1,1,1,NA,4,Americas
0,mobile,0,1,1,1,2,Americas
0,consulting,0,NA,NA,1,4,NA
2e5,other,2,NA,1,NA,6,Americas
0,cleantech,0,NA,NA,8,4,NA
0,public_relations,0,1,5,70,12,Americas
8e6,advertising,4,3,5,50,7,Americas
4603550,medical,1,NA,NA,NA,NA,Europe
0,web,0,2,2,4,3,Americas
0,NA,0,NA,1,NA,NA,NA
0,web,0,NA,NA,NA,NA,NA
3e6,web,1,NA,NA,NA,NA,Europe
0,software,0,1,5,140,29,Americas
15e5,mobile,1,NA,NA,NA,NA,NA
0,software,0,2,1,2,1,Europe
58e4,public_relations,1,NA,NA,NA,10,Europe
42050013,ecommerce,2,NA,2,NA,8,Asia
58e5,mobile,1,1,5,34,0,Americas
75e4,messaging,2,1,6,NA,NA,Americas
5e6,web,1,2,6,15,14,Americas
0,legal,0,1,1,5,2,Americas
516e3,web,2,2,2,6,3,Americas
336406,social,3,1,1,12,4,Europe
11e5,social,1,2,2,NA,3,Americas
0,NA,0,1,4,NA,NA,NA
65e5,news,2,1,2,6,4,Americas
0,public_relations,0,1,1,10,12,Europe
3450430,software,3,3,3,8,2,Americas
0,NA,0,1,1,NA,NA,NA
0,ecommerce,0,NA,NA,5,2,NA
2087704,other,2,1,8,25,4,Americas
403210,enterprise,1,2,6,12,3,Americas
3e6,games_video,3,2,NA,NA,4,NA
15e5,sports,1,2,7,10,1,Asia
3175e3,social,2,1,3,18,2,Americas
7e5,medical,1,NA,3,NA,NA,Americas
0,NA,0,NA,1,NA,NA,NA
0,NA,0,NA,1,NA,NA,NA
1e5,social,1,2,3,2,1,Americas
1e6,web,1,2,2,7,1,Americas
3e5,social,1,1,2,10,2,Europe
191e4,hardware,1,NA,2,NA,NA,Europe
0,NA,0,NA,2,NA,NA,NA
58e5,NA,1,1,1,NA,9,Americas
225e5,sports,2,1,28,NA,14,Americas
1e6,web,1,1,NA,NA,0,Americas
2156e5,mobile,4,3,36,900,6,Asia
25e4,other,1,1,2,28,1,Asia
91e6,photo_video,3,2,21,85,4,Americas
8e6,hardware,1,NA,2,NA,3,NA
58e5,sports,1,1,1,NA,2,Europe
0,other,0,1,2,5,9,Americas
0,software,0,1,7,50,13,Europe
0,ecommerce,0,1,3,20,5,Oceania
0,consulting,0,NA,NA,NA,NA,NA
0,ecommerce,0,1,2,10,9,Americas
0,fashion,1,1,3,15,2,Americas
5e5,software,1,1,2,6,6,Americas
0,web,0,3,5,5,0,Americas
0,consulting,0,2,3,20000,44,Europe
166700,other,1,NA,2,NA,NA,Americas
0,search,0,NA,2,4,4,Americas
0,NA,0,1,1,NA,NA,NA
36297490,software,3,1,2,NA,NA,Americas
0,software,0,1,1,8,6,Americas
0,mobile,0,1,4,15,7,Europe
1685e3,enterprise,2,1,1,NA,10,Americas
0,NA,0,NA,1,NA,NA,NA
0,web,0,1,1,NA,0,NA
0,ecommerce,0,1,2,8,2,Europe
0,ecommerce,0,1,2,28,1,Asia
26e5,software,1,NA,NA,20,10,Europe
1917451,software,3,1,3,6,2,Europe
35e5,ecommerce,2,2,2,12,5,Americas
705e4,web,2,2,4,NA,7,Americas
0,NA,0,1,1,NA,NA,NA
2465e3,enterprise,7,1,9,16,3,Americas
0,NA,0,1,1,NA,NA,NA
9079169,analytics,3,1,9,NA,4,Americas
0,consulting,0,1,3,12,7,Americas
0,NA,0,NA,2,NA,NA,NA
717e5,analytics,5,2,10,80,3,Europe
512e4,software,1,NA,3,NA,7,Europe
30772029,software,2,2,15,30,14,Europe
0,software,0,1,1,10,2,Europe
2046e4,games_video,4,2,8,35,3,Americas
151525,web,2,1,3,2,1,Europe
0,software,0,1,4,12,14,Americas
0,NA,0,NA,1,NA,NA,NA
0,other,0,1,6,NA,4,Americas
0,health,0,NA,NA,NA,NA,NA
0,security,0,1,3,4,3,Americas
0,NA,0,1,1,NA,NA,Americas
72e6,real_estate,4,1,2,400,6,Asia
72e4,web,3,1,6,4,2,Americas
1e4,web,1,3,9,6,2,Americas
0,NA,0,1,1,NA,NA,NA
4e5,mobile,1,2,6,4,1,Asia
7e6,web,1,NA,NA,NA,NA,Americas
0,NA,0,1,3,NA,NA,Americas
4855e3,enterprise,3,1,4,12,5,Americas
0,other,0,1,3,5,3,Americas
0,other,0,1,1,5,2,Americas
0,software,0,1,3,3,6,Europe
2577495,games_video,1,NA,1,NA,4,Americas
26e5,hardware,1,1,3,NA,1,Americas
0,other,0,NA,NA,NA,1,NA
51e6,travel,3,3,18,500,7,Asia
1405e4,enterprise,2,1,2,80,4,Americas
167e4,security,1,1,1,NA,7,Oceania
0,NA,0,1,1,NA,NA,NA
0,security,0,1,2,NA,15,Americas
0,ecommerce,0,1,1,2,2,NA
31e5,biotech,1,NA,1,NA,4,Americas
5e4,enterprise,2,1,1,12,4,Europe
0,real_estate,0,1,NA,NA,0,Europe
6433e3,software,1,1,4,NA,NA,Europe
0,ecommerce,0,2,2,18,3,Africa
1e6,manufacturing,1,NA,2,NA,4,Americas
113e5,biotech,1,NA,4,NA,4,Americas
0,other,0,1,2,NA,15,Asia
0,NA,0,1,1,NA,NA,NA
25e4,search,1,1,1,7,3,NA
0,NA,0,1,1,NA,NA,NA
0,NA,0,NA,1,NA,NA,NA
0,NA,0,NA,1,NA,NA,NA
43637,transportation,3,NA,3,NA,NA,NA
5e4,web,1,1,5,6,2,Americas
0,web,0,1,2,8,1,Asia
575e4,semiconductor,4,1,9,40,12,Americas
57e6,cleantech,3,2,10,NA,9,Americas
1571940,biotech,1,NA,1,NA,4,Americas
0,games_video,0,1,7,40,6,Americas
4e6,NA,1,NA,1,NA,14,Americas
27e6,cleantech,2,1,6,5,6,Americas
0,other,0,1,3,7,1,Americas
